treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
1,37,11,1,0,1,1,0,0,9930.0458984375
1,22,9,0,1,0,1,0,0,3595.89404296875
1,30,12,1,0,0,0,0,0,24909.44921875
1,27,11,1,0,0,1,0,0,7506.14599609375
1,33,8,1,0,0,1,0,0,289.7898864746094
1,22,9,1,0,0,1,0,0,4056.493896484375
1,23,12,1,0,0,0,0,0,0
1,32,11,1,0,0,1,0,0,8472.158203125
1,22,16,1,0,0,0,0,0,2164.02197265625
1,33,12,0,0,1,0,0,0,12418.0703125
1,19,9,1,0,0,1,0,0,8173.908203125
1,21,13,1,0,0,0,0,0,17094.640625
1,18,8,1,0,0,1,0,0,0
1,27,10,1,0,1,1,0,0,18739.9296875
1,17,7,1,0,0,1,0,0,3023.87890625
1,19,10,1,0,0,1,0,0,3228.5029296875
1,27,13,1,0,0,0,0,0,14581.8603515625
1,23,10,1,0,0,1,0,0,7693.39990234375
1,40,12,1,0,0,0,0,0,10804.3203125
1,26,12,1,0,0,0,0,0,10747.349609375
1,23,11,1,0,0,1,0,0,0
1,41,14,0,0,0,0,0,0,5149.5009765625
1,38,9,0,0,0,1,0,0,6408.9501953125
1,24,11,1,0,0,1,0,0,1991.4000244140625
1,18,10,1,0,0,1,0,0,11163.169921875
1,29,11,1,0,1,1,0,0,9642.9990234375
1,25,11,1,0,0,1,0,0,9897.048828125
1,27,10,0,1,0,1,0,0,11142.8701171875
1,17,10,1,0,0,1,0,0,16218.0400390625
1,24,11,1,0,0,1,0,0,995.7001953125
1,17,10,1,0,0,1,0,0,0
1,48,4,1,0,0,1,0,0,6551.591796875
1,25,11,1,0,1,1,0,0,1574.4239501953125
1,20,12,1,0,0,0,0,0,0
1,25,12,1,0,0,0,0,0,3191.7529296875
1,42,14,1,0,0,0,0,0,20505.9296875
1,25,5,1,0,0,1,0,0,6181.8798828125
1,23,12,1,0,1,0,0,0,5911.55078125
1,46,8,1,0,1,1,0,0,3094.156005859375
1,24,10,1,0,0,1,0,0,0
1,21,12,1,0,0,0,0,0,1254.58203125
1,19,9,0,0,0,1,0,0,13188.830078125
1,17,8,1,0,0,1,0,0,8061.48486328125
1,18,8,0,1,1,1,0,0,2787.9599609375
1,20,11,1,0,0,1,0,0,3972.5400390625
1,25,11,1,0,1,1,0,0,0
1,17,8,1,0,0,1,0,0,0
1,17,9,1,0,0,1,0,0,0
1,25,5,1,0,0,1,0,0,12187.41015625
1,23,12,1,0,0,0,0,0,4843.17578125
1,28,8,1,0,0,1,0,0,0
1,31,11,1,0,1,1,0,0,8087.48681640625
1,18,11,1,0,0,1,0,0,0
1,25,12,1,0,0,0,0,0,2348.972900390625
1,30,11,1,0,1,1,0,0,590.78179931640625
1,17,10,1,0,0,1,0,0,0
1,37,9,1,0,0,1,0,0,1067.5059814453125
1,41,4,1,0,1,1,0,0,7284.98583984375
1,42,14,1,0,1,0,0,0,13167.51953125
1,22,11,0,0,0,1,0,0,1048.4320068359375
1,17,8,1,0,0,1,0,0,0
1,29,8,1,0,0,1,0,0,1923.93798828125
1,35,10,1,0,0,1,0,0,4666.23583984375
1,27,11,1,0,0,1,0,0,549.29840087890625
1,29,4,1,0,0,1,0,0,762.91461181640625
1,28,9,1,0,0,1,0,0,10694.2900390625
1,27,11,1,0,0,1,0,0,0
1,23,7,0,0,0,1,0,0,0
1,45,5,1,0,1,1,0,0,8546.71484375
1,29,13,1,0,0,0,0,0,7479.65576171875
1,27,9,1,0,0,1,0,0,0
1,46,13,1,0,0,0,0,0,647.20458984375
1,18,6,1,0,0,1,0,0,0
1,25,12,1,0,0,0,0,0,11965.8095703125
1,28,15,1,0,0,0,0,0,9598.541015625
1,25,11,0,0,0,1,0,0,18783.349609375
1,22,12,1,0,0,0,0,0,18678.080078125
1,21,9,1,0,0,1,0,0,0
1,40,11,1,0,0,1,0,0,23005.599609375
1,22,11,1,0,0,1,0,0,6456.69677734375
1,25,12,1,0,0,0,0,0,0
1,18,12,1,0,0,0,0,0,2321.10693359375
1,38,12,0,0,0,0,0,0,4941.84912109375
1,27,13,1,0,0,0,0,0,0
1,27,8,1,0,0,1,0,0,0
1,38,11,1,0,0,1,0,0,0
1,23,8,0,1,0,1,0,0,3881.283935546875
1,26,11,1,0,0,1,0,0,17230.9609375
1,21,12,0,0,0,0,0,0,8048.60302734375
1,25,8,1,0,0,1,0,0,0
1,31,11,1,0,1,1,0,0,14509.9296875
1,17,10,1,0,0,1,0,0,0
1,25,11,1,0,0,1,0,0,0
1,21,12,1,0,0,0,0,0,9983.7841796875
1,44,11,1,0,0,1,0,0,0
1,25,12,0,0,0,0,0,0,5587.5029296875
1,18,9,1,0,0,1,0,0,4482.84521484375
1,42,12,1,0,0,0,0,0,2456.153076171875
1,25,10,1,0,0,1,0,0,0
1,31,9,0,1,0,1,0,0,26817.599609375
1,24,10,1,0,0,1,0,0,0
1,26,10,1,0,0,1,0,0,9265.7880859375
1,25,11,1,0,0,1,0,0,485.22979736328125
1,18,11,1,0,0,1,0,0,4814.626953125
1,19,11,1,0,0,1,0,0,7458.10498046875
1,43,9,1,0,0,1,0,0,0
1,27,13,1,0,0,0,0,0,34099.28125
1,17,9,1,0,0,1,0,0,1953.2679443359375
1,30,11,1,0,0,1,0,0,0
1,26,10,1,0,1,1,2027.9990234375,0,0
1,20,9,1,0,0,1,6083.994140625,0,8881.6650390625
1,17,9,0,1,0,1,445.17041015625,74.34345245361328,6210.669921875
1,20,12,1,0,0,0,989.267822265625,165.20770263671875,0
1,18,11,1,0,0,1,858.2542724609375,214.5635986328125,929.8839111328125
1,27,12,1,0,1,0,3670.8720703125,334.0492858886719,0
1,21,12,0,0,0,0,3670.8720703125,334.0494079589844,12558.01953125
1,27,12,1,0,0,0,2143.4130859375,357.94989013671875,22163.25
1,20,12,1,0,0,0,0,377.568603515625,1652.636962890625
1,19,10,1,0,0,1,0,385.27410888671875,8124.71484375
1,23,12,1,0,0,0,5506.30810546875,501.0740966796875,671.331787109375
1,29,14,1,0,0,0,0,679.67340087890625,17814.98046875
1,18,10,1,0,0,1,0,798.90789794921875,9737.154296875
1,19,9,1,0,0,1,0,798.90789794921875,17685.1796875
1,27,13,0,0,1,0,9381.56640625,853.72247314453125,0
1,18,11,0,0,0,1,3678.23095703125,919.55792236328125,4321.705078125
1,27,9,1,0,1,1,0,934.44537353515625,1773.4229736328125
1,22,12,1,0,0,0,5605.85205078125,936.17730712890625,0
1,23,10,1,0,1,1,0,936.4385986328125,11233.259765625
1,23,12,0,1,0,0,9385.740234375,1117.43896484375,559.44317626953125
1,20,11,1,0,0,1,3637.498046875,1220.8360595703125,1085.43994140625
1,17,9,1,0,0,1,1716.509033203125,1253.43896484375,5445.2001953125
1,28,11,1,0,0,1,0,1284.0789794921875,60307.9296875
1,26,11,1,0,1,1,0,1392.85302734375,1460.3599853515625
1,20,11,1,0,0,1,16318.6201171875,1484.9940185546875,6943.341796875
1,24,11,1,0,1,1,824.38861083984375,1666.113037109375,4032.7080078125
1,31,9,1,0,0,1,0,1698.6070556640625,10363.26953125
1,23,8,0,0,1,1,0,1713.1500244140625,4232.30908203125
1,18,10,1,0,0,1,2143.410888671875,1784.2740478515625,11141.3896484375
1,29,12,1,0,0,0,10881.9404296875,1817.2840576171875,0
1,26,11,0,0,0,1,0,2226.26611328125,13385.8603515625
1,24,9,1,0,0,1,9154.7001953125,2288.675048828125,4849.55908203125
1,25,12,1,0,0,0,14426.7900390625,2409.27392578125,0
1,24,10,1,0,0,1,4250.40185546875,2421.947021484375,1660.508056640625
1,46,8,1,0,0,1,3165.657958984375,2594.722900390625,0
1,31,12,0,0,0,0,0,2611.218017578125,2484.549072265625
1,19,11,1,0,0,1,2305.02587890625,2615.27587890625,4146.60302734375
1,19,8,1,0,0,1,0,2657.056884765625,9970.6806640625
1,27,11,1,0,0,1,2206.93994140625,2666.27392578125,0
1,26,11,1,0,1,1,0,2754.64599609375,26372.279296875
1,20,10,1,0,0,1,5005.73095703125,2777.35498046875,5615.18896484375
1,28,10,1,0,0,1,0,2836.506103515625,3196.571044921875
1,24,12,1,0,0,0,13765.75,2842.763916015625,6167.68115234375
1,19,8,1,0,0,1,2636.35302734375,2937.263916015625,7535.94189453125
1,23,12,1,0,0,0,6269.3408203125,3039.9599609375,8484.2392578125
1,42,9,1,0,1,1,0,3058.531005859375,1294.4090576171875
1,25,13,1,0,0,0,12362.9296875,3090.73193359375,0
1,18,9,1,0,0,1,0,3287.375,5010.341796875
1,21,12,1,0,0,0,6473.68310546875,3332.408935546875,9371.037109375
1,27,10,1,0,0,1,1001.14599609375,3550.074951171875,0
1,21,8,1,0,0,1,989.267822265625,3695.89697265625,4279.61279296875
1,22,9,1,0,0,1,2192.876953125,3836.986083984375,3462.56396484375
1,31,4,1,0,0,1,8517.5888671875,4023.2109375,7382.548828125
1,24,10,1,0,1,1,11703.2001953125,4078.152099609375,0
1,29,10,1,0,0,1,0,4398.9501953125,0
1,29,12,1,0,0,0,9748.38671875,4878.93701171875,10976.509765625
1,19,10,0,0,0,1,0,5324.10888671875,13829.6201171875
1,19,11,0,1,1,1,5424.48486328125,5463.80322265625,6788.462890625
1,31,9,1,0,0,1,10717.0302734375,5517.8408203125,9558.5009765625
1,22,10,1,0,1,1,1468.3480224609375,5588.6640625,13228.2802734375
1,21,9,1,0,0,1,6416.47021484375,5749.3310546875,743.6666259765625
1,17,10,1,0,0,1,1291.468017578125,5793.85205078125,5522.7880859375
1,26,12,1,0,1,0,8408.76171875,5794.8310546875,1424.9439697265625
1,20,9,0,1,0,1,12260.7802734375,5875.048828125,1358.6429443359375
1,19,10,1,0,0,1,4121.94921875,6056.75390625,0
1,26,10,1,0,0,1,25929.6796875,6788.9580078125,672.8773193359375
1,28,11,1,0,0,1,1929.029052734375,6871.85595703125,0
1,22,12,0,1,1,0,492.2304992675781,7055.7021484375,10092.830078125
1,33,11,1,0,0,1,0,7867.916015625,6281.43310546875
1,22,12,0,0,0,0,6759.994140625,8455.50390625,12590.7099609375
1,29,10,0,1,0,1,0,8853.673828125,5112.01416015625
1,33,12,1,0,1,0,20279.94921875,10941.349609375,15952.599609375
1,25,14,1,0,1,0,35040.0703125,11536.5703125,36646.94921875
1,35,9,1,0,1,1,13602.4296875,13830.6396484375,12803.9697265625
1,35,8,1,0,1,1,13732.0703125,17976.150390625,3786.6279296875
1,33,11,1,0,1,1,14660.7099609375,25142.240234375,4181.94189453125
0,23,10,1,0,0,1,0,0,0
0,26,12,0,0,0,0,0,0,12383.6796875
0,22,9,1,0,0,1,0,0,0
0,18,9,1,0,0,1,0,0,10740.080078125
0,45,11,1,0,0,1,0,0,11796.4697265625
0,18,9,1,0,0,1,0,0,9227.0517578125
0,24,8,0,0,0,1,0,0,10569.26953125
0,34,11,1,0,1,1,0,0,6040.3349609375
0,24,4,0,1,0,1,0,0,3880.8330078125
0,36,10,1,0,0,1,0,0,0
0,21,14,1,0,0,0,0,0,5775.06201171875
0,28,9,1,0,0,1,0,0,0
0,27,7,1,0,1,1,0,0,0
0,19,11,0,0,0,1,0,0,0
0,20,8,1,0,0,1,0,0,0
0,34,12,1,0,0,0,0,0,2113.721923828125
0,24,10,1,0,0,1,0,0,7618.63916015625
0,22,8,0,1,0,1,0,0,9920.9453125
0,25,11,1,0,0,1,0,0,4196.375
0,39,9,1,0,0,1,0,0,0
0,19,9,1,0,1,1,0,0,16658.25
0,44,9,1,0,0,1,0,0,9722.0029296875
0,27,8,1,0,0,1,0,0,3783.659912109375
0,25,8,1,0,0,1,0,0,3515.928955078125
0,31,10,1,0,0,1,0,0,17014.58984375
0,34,10,1,0,1,1,0,0,0
0,21,7,0,1,0,1,0,0,0
0,33,12,1,0,0,0,0,0,5970.2568359375
0,18,10,0,1,0,1,0,0,1859.1669921875
0,26,12,1,0,1,0,0,0,6191.94287109375
0,31,12,1,0,0,0,0,0,7284.39404296875
0,35,10,1,0,0,1,0,0,445.8309020996094
0,20,12,1,0,0,0,0,0,0
0,25,11,1,0,0,1,0,0,0
0,25,10,1,0,0,1,0,0,7367.0400390625
0,35,11,1,0,0,1,0,0,0
0,20,10,1,0,0,1,0,0,2015.5030517578125
0,25,9,0,1,0,1,0,0,15791.1298828125
0,27,10,1,0,0,1,0,0,1135.469970703125
0,20,11,0,1,0,1,0,0,6378.72021484375
0,26,11,1,0,0,1,0,0,7176.18701171875
0,38,8,1,0,0,1,0,0,0
0,34,10,1,0,0,1,0,0,7952.5400390625
0,19,12,1,0,0,0,0,0,0
0,32,8,1,0,0,1,0,0,7152.1318359375
0,20,9,0,1,0,1,0,0,8329.8232421875
0,23,10,1,0,0,1,0,0,0
0,38,10,1,0,0,1,0,0,12429.91015625
0,24,11,1,0,0,1,0,0,0
0,23,11,1,0,0,1,0,0,5088.759765625
0,20,7,0,1,0,1,0,0,4374.0400390625
0,21,11,1,0,0,1,0,0,1553.291015625
0,25,10,1,0,0,1,0,0,0
0,22,11,1,0,1,1,0,0,1698.303955078125
0,23,11,1,0,0,1,0,0,0
0,24,12,0,0,0,0,0,0,11294.6298828125
0,29,11,1,0,0,1,0,0,0
0,24,11,1,0,0,1,0,0,14626.3896484375
0,22,9,1,0,0,1,0,0,12898.3798828125
0,28,11,1,0,0,1,0,0,5767.1328125
0,18,10,0,1,0,1,0,0,6527.9189453125
0,26,10,1,0,0,1,0,0,3931.238037109375
0,25,10,1,0,0,1,0,0,20942.240234375
0,24,10,1,0,0,1,0,0,0
0,26,5,1,0,0,1,0,0,0
0,36,10,1,0,0,1,0,0,14690.349609375
0,22,11,1,0,0,1,0,0,0
0,25,12,1,0,0,0,0,0,3418.096923828125
0,27,11,1,0,0,1,0,0,11197.33984375
0,29,8,1,0,0,1,0,0,0
0,24,12,1,0,0,0,0,0,0
0,22,10,1,0,0,1,0,0,0
0,24,7,1,0,0,1,0,0,1455.68994140625
0,29,12,1,0,0,0,0,0,1890.93701171875
0,25,11,0,1,1,1,0,0,4485.6162109375
0,30,12,1,0,0,0,0,0,13613.349609375
0,22,8,1,0,0,1,0,0,1390.509033203125
0,55,3,1,0,0,1,0,0,5843.7958984375
0,20,10,1,0,0,1,0,0,8598.5224609375
0,34,11,1,0,0,1,0,0,2920.198974609375
0,22,12,1,0,0,0,0,0,0
0,32,12,0,1,1,0,0,0,6735.31982421875
0,31,10,1,0,0,1,0,0,0
0,18,9,1,0,0,1,0,0,0
0,50,10,0,1,0,1,0,0,0
0,25,11,1,0,1,1,0,0,44.75545883178711
0,23,10,1,0,1,1,0,0,0
0,38,10,1,0,0,1,0,0,0
0,25,10,1,0,1,1,0,0,3701.81201171875
0,42,10,1,0,0,1,0,0,6930.3359375
0,39,12,1,0,1,0,0,0,3795.799072265625
0,34,13,1,0,1,0,0,0,5193.2470703125
0,24,7,1,0,0,1,0,0,2193.528076171875
0,32,11,1,0,0,1,0,0,11120.5302734375
0,27,13,1,0,0,0,0,0,7609.51806640625
0,26,10,1,0,0,1,0,0,2169.027099609375
0,44,11,1,0,0,1,0,0,0
0,25,11,1,0,0,1,0,0,1264.2320556640625
0,25,12,1,0,0,0,0,0,0
0,28,12,1,0,1,0,0,0,0
0,32,10,1,0,0,1,0,0,0
0,22,10,1,0,0,1,0,0,0
0,19,9,1,0,0,1,0,0,5712.64306640625
0,31,10,1,0,1,1,0,0,0
0,23,11,1,0,0,1,0,0,0
0,33,11,1,0,0,1,0,0,0
0,27,10,1,0,0,1,0,0,1184.8819580078125
0,29,11,1,0,1,1,0,0,10225.8798828125
0,23,10,1,0,0,1,0,0,0
0,25,9,1,0,1,1,0,0,4715.37109375
0,25,10,1,0,0,1,0,0,289.7898864746094
0,24,10,1,0,0,1,0,0,0
0,28,8,0,0,0,1,0,0,8190.4208984375
0,26,6,1,0,0,1,0,0,4813.0498046875
0,30,14,1,0,1,0,0,0,7344.67822265625
0,25,10,1,0,1,1,0,0,0
0,29,11,1,0,1,1,0,0,0
0,25,12,1,0,1,0,0,0,0
0,28,13,1,0,0,0,0,0,0
0,23,11,1,0,0,1,0,0,4350.9072265625
0,54,11,1,0,0,1,0,0,7812.52197265625
0,33,5,0,1,0,1,0,0,0
0,20,8,1,0,0,1,0,0,3644.655029296875
0,45,9,1,0,0,1,0,0,4844.80322265625
0,39,6,1,0,0,1,0,0,0
0,26,12,1,0,0,0,0,0,0
0,23,10,1,0,0,1,0,0,0
0,27,12,0,0,0,0,0,0,14792.900390625
0,33,9,0,1,1,1,0,0,0
0,25,10,1,0,1,1,0,0,0
0,23,8,1,0,0,1,0,0,3746.700927734375
0,18,8,1,0,0,1,0,0,1568.1500244140625
0,17,8,1,0,0,1,0,0,7010.44384765625
0,19,9,0,1,0,1,0,0,3811.68310546875
0,18,8,0,1,0,1,0,0,10798.5595703125
0,18,11,1,0,0,1,0,0,4657.27294921875
0,17,11,1,0,0,1,0,0,8551.533203125
0,19,10,1,0,0,1,0,0,4309.8779296875
0,19,10,1,0,0,1,0,0,5286.39599609375
0,18,9,1,0,0,1,0,0,12486.169921875
0,18,9,1,0,0,1,0,0,10877.349609375
0,18,10,1,0,0,1,0,0,202.28469848632812
0,17,10,1,0,0,1,0,0,2657.705078125
