treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
0,47,12,0,0,0,0,0,0,0
0,50,12,1,0,1,0,0,0,0
0,44,12,0,0,0,0,0,0,0
0,28,12,1,0,1,0,0,0,0
0,54,12,0,0,1,0,0,0,0
0,55,12,0,1,1,0,0,0,0
0,47,12,0,0,1,0,0,0,0
0,25,12,1,0,0,0,0,0,0
0,44,12,0,0,1,0,0,0,0
0,50,12,1,0,1,0,0,0,0
0,23,12,1,0,0,0,0,0,4728.72509765625
0,49,14,0,0,1,0,0,0,0
0,55,14,0,0,1,0,0,0,0
0,34,14,1,0,1,0,0,0,0
0,34,16,0,0,1,0,0,0,11821.8134765625
0,55,13,0,1,1,0,0,0,0
0,52,12,0,0,1,0,0,0,0
0,52,15,0,0,1,0,0,0,0
0,30,16,0,0,1,0,0,0,0
0,21,12,0,0,0,0,0,0,0
0,30,17,0,0,0,0,0,0,0
0,44,12,0,0,1,0,0,0,0
0,46,12,0,0,0,0,0,0,0
0,53,17,0,0,1,0,0,0,0
0,26,16,0,0,0,0,0,0,9014.1318359375
0,49,12,0,0,1,0,0,0,13299.5390625
0,39,15,0,0,1,0,0,0,1921.0445556640625
0,26,17,0,0,1,0,0,0,11821.8134765625
0,32,16,0,0,1,0,0,0,0
0,34,12,0,0,1,0,0,0,0
0,31,14,0,0,1,0,0,0,0
0,39,17,0,1,1,0,0,0,8866.359375
0,40,17,0,0,1,0,0,0,0
0,31,12,0,0,1,0,0,0,0
0,27,13,0,0,1,0,0,0,28076.8046875
0,48,12,0,0,1,0,0,0,0
0,41,13,0,0,1,0,0,0,0
0,26,14,0,0,0,0,0,0,0
0,50,17,0,0,0,0,0,0,0
0,48,12,0,0,1,0,0,0,12930.1083984375
0,45,16,0,0,1,0,0,0,0
0,37,13,0,0,1,0,0,0,0
0,33,12,0,0,1,0,0,0,0
0,31,12,0,0,1,0,0,0,0
0,36,12,1,0,1,0,0,0,17732.71875
0,44,13,0,0,1,0,0,0,0
0,28,17,0,0,1,0,0,0,0
0,30,17,0,0,1,0,0,0,0
0,42,16,0,0,1,0,0,0,0
0,30,12,0,0,1,0,0,0,0
0,27,16,0,0,1,0,0,0,0
0,37,12,0,0,1,0,0,0,0
