st,year,div_rate,lfdivlaw,unilateral,years_unilateral
"AK",1956,2.7,1935,1,15
"AK",1957,2.4,1935,1,15
"AK",1958,2.5,1935,1,15
"AK",1959,3,1935,1,15
"AK",1960,3.5,1935,1,15
"AK",1961,3.9,1935,1,15
"AK",1962,3.8,1935,1,15
"AK",1963,3.8,1935,1,15
"AK",1964,3.9,1935,1,15
"AK",1965,4.2,1935,1,15
"AK",1966,4.1,1935,1,15
"AK",1967,4.3,1935,1,15
"AK",1968,4.8,1935,1,15
"AK",1969,5.4,1935,1,15
"AK",1970,5.6,1935,1,15
"AK",1971,5.5,1935,1,15
"AK",1972,6.6,1935,1,15
"AK",1973,6.2,1935,1,15
"AK",1974,7.1,1935,1,15
"AK",1975,7.7,1935,1,15
"AK",1976,8.2,1935,1,15
"AK",1977,9,1935,1,15
"AK",1978,8.7,1935,1,15
"AK",1979,8.7,1935,1,15
"AK",1980,8.8,1935,1,15
"AK",1981,8.3,1935,1,15
"AK",1982,7.8,1935,1,15
"AK",1983,8.1,1935,1,15
"AK",1984,7.7,1935,1,15
"AK",1985,7.7,1935,1,15
"AK",1986,7,1935,1,15
"AK",1987,6.5,1935,1,15
"AK",1988,6.4,1935,1,15
"AK",1989,6.3,1935,1,15
"AK",1990,5.7,1935,1,15
"AK",1991,5.97253,1935,1,15
"AK",1992,6.302453,1935,1,15
"AK",1993,5.618156,1935,1,15
"AK",1994,5.316138,1935,1,15
"AK",1995,4.988817,1935,1,15
"AK",1996,4.628726,1935,1,15
"AK",1997,4.838662,1935,1,15
"AK",1998,5.221024,1935,1,15
"AL",1956,3.3,1971,0,-99
"AL",1957,3.4,1971,0,-99
"AL",1958,3.9,1971,0,-99
"AL",1959,4.7,1971,0,-99
"AL",1960,5.3,1971,0,-99
"AL",1961,5.3,1971,0,-99
"AL",1962,3.7,1971,0,-99
"AL",1963,3.7,1971,0,-99
"AL",1964,3.2,1971,0,-99
"AL",1965,3.2,1971,0,-99
"AL",1966,3.2,1971,0,-99
"AL",1967,3.4,1971,0,-99
"AL",1968,3.6,1971,0,-99
"AL",1969,4,1971,0,-99
"AL",1970,4.4,1971,0,-99
"AL",1971,4.8,1971,1,1
"AL",1972,5.4,1971,1,1
"AL",1973,5.7,1971,1,3
"AL",1974,5.8,1971,1,3
"AL",1975,6.2,1971,1,5
"AL",1976,6.4,1971,1,5
"AL",1977,6.3,1971,1,7
"AL",1978,6.5,1971,1,7
"AL",1979,6.9,1971,1,9
"AL",1980,6.9,1971,1,9
"AL",1981,6.8,1971,1,11
"AL",1982,6.3,1971,1,11
"AL",1983,6.4,1971,1,13
"AL",1984,6.4,1971,1,13
"AL",1985,6.2,1971,1,15
"AL",1986,6.3,1971,1,15
"AL",1987,6,1971,1,15
"AL",1988,5.8,1971,1,15
"AL",1989,6.2,1971,1,15
