county_fips,statename,elasticity,total,year,hpi
1001,2,3.5814337730407715,16784,2000,143498
1001,2,3.5814337730407715,16784,2001,149142
1001,2,3.5814337730407715,16784,2002,151144
1001,2,3.5814337730407715,16784,2003,155824
1001,2,3.5814337730407715,16784,2004,159876
1001,2,3.5814337730407715,16784,2005,169381
1001,2,3.5814337730407715,16784,2006,183107
1001,2,3.5814337730407715,16784,2007,193621
1001,2,3.5814337730407715,16784,2008,196509
1001,2,3.5814337730407715,16784,2009,194412
1001,2,3.5814337730407715,16784,2010,185021
1001,2,3.5814337730407715,16784,2011,179532
1001,2,3.5814337730407715,16784,2012,176823
1001,2,3.5814337730407715,16784,2013,175411
1001,2,3.5814337730407715,16784,2014,174904
1001,2,3.5814337730407715,16784,2015,180095
1001,2,3.5814337730407715,16784,2016,185183
1007,2,2.144763946533203,8777,2000,NA
1007,2,2.144763946533203,8777,2001,NA
1007,2,2.144763946533203,8777,2002,NA
1007,2,2.144763946533203,8777,2003,NA
1007,2,2.144763946533203,8777,2004,NA
1007,2,2.144763946533203,8777,2005,NA
1007,2,2.144763946533203,8777,2006,NA
1007,2,2.144763946533203,8777,2007,NA
1007,2,2.144763946533203,8777,2008,135050
1007,2,2.144763946533203,8777,2009,134847
1007,2,2.144763946533203,8777,2010,127557
1007,2,2.144763946533203,8777,2011,122759
1007,2,2.144763946533203,8777,2012,112467
1007,2,2.144763946533203,8777,2013,110818
1007,2,2.144763946533203,8777,2014,106984
1007,2,2.144763946533203,8777,2015,109219
1007,2,2.144763946533203,8777,2016,109630
1009,2,2.144763946533203,15962,2000,136461
1009,2,2.144763946533203,15962,2001,143478
1009,2,2.144763946533203,15962,2002,148579
1009,2,2.144763946533203,15962,2003,153248
1009,2,2.144763946533203,15962,2004,159598
1009,2,2.144763946533203,15962,2005,168213
1009,2,2.144763946533203,15962,2006,182953
1009,2,2.144763946533203,15962,2007,192884
1009,2,2.144763946533203,15962,2008,199455
1009,2,2.144763946533203,15962,2009,194919
1009,2,2.144763946533203,15962,2010,185571
1009,2,2.144763946533203,15962,2011,178363
1009,2,2.144763946533203,15962,2012,174587
1009,2,2.144763946533203,15962,2013,173916
1009,2,2.144763946533203,15962,2014,173219
1009,2,2.144763946533203,15962,2015,178634
1009,2,2.144763946533203,15962,2016,183314
1021,2,2.144763946533203,16137,2000,NA
1021,2,2.144763946533203,16137,2001,NA
1021,2,2.144763946533203,16137,2002,NA
1021,2,2.144763946533203,16137,2003,NA
1021,2,2.144763946533203,16137,2004,NA
1021,2,2.144763946533203,16137,2005,NA
1021,2,2.144763946533203,16137,2006,107581
1021,2,2.144763946533203,16137,2007,109891
1021,2,2.144763946533203,16137,2008,115476
1021,2,2.144763946533203,16137,2009,115373
1021,2,2.144763946533203,16137,2010,109352
1021,2,2.144763946533203,16137,2011,105438
1021,2,2.144763946533203,16137,2012,100409
1021,2,2.144763946533203,16137,2013,99686
1021,2,2.144763946533203,16137,2014,99724
1021,2,2.144763946533203,16137,2015,102433
1021,2,2.144763946533203,16137,2016,105667
1051,2,3.5814337730407715,28065,2000,NA
1051,2,3.5814337730407715,28065,2001,NA
1051,2,3.5814337730407715,28065,2002,NA
1051,2,3.5814337730407715,28065,2003,NA
1051,2,3.5814337730407715,28065,2004,NA
1051,2,3.5814337730407715,28065,2005,NA
1051,2,3.5814337730407715,28065,2006,147006
1051,2,3.5814337730407715,28065,2007,157303
1051,2,3.5814337730407715,28065,2008,163306
1051,2,3.5814337730407715,28065,2009,162825
1051,2,3.5814337730407715,28065,2010,154100
1051,2,3.5814337730407715,28065,2011,141781
1051,2,3.5814337730407715,28065,2012,136403
1051,2,3.5814337730407715,28065,2013,142125
1051,2,3.5814337730407715,28065,2014,141626
1051,2,3.5814337730407715,28065,2015,154194
1051,2,3.5814337730407715,28065,2016,149913
1055,2,3.406383991241455,47021,2000,61395
1055,2,3.406383991241455,47021,2001,71881
1055,2,3.406383991241455,47021,2002,74881
1055,2,3.406383991241455,47021,2003,77972
1055,2,3.406383991241455,47021,2004,81219
1055,2,3.406383991241455,47021,2005,85467
1055,2,3.406383991241455,47021,2006,92882
1055,2,3.406383991241455,47021,2007,98585
1055,2,3.406383991241455,47021,2008,101283
1055,2,3.406383991241455,47021,2009,104889
1055,2,3.406383991241455,47021,2010,98453
1055,2,3.406383991241455,47021,2011,95733
1055,2,3.406383991241455,47021,2012,93853
1055,2,3.406383991241455,47021,2013,90947
1055,2,3.406383991241455,47021,2014,89685
1055,2,3.406383991241455,47021,2015,91804
1055,2,3.406383991241455,47021,2016,92609
1061,2,4.256374359130859,12486,2000,NA
1061,2,4.256374359130859,12486,2001,NA
1061,2,4.256374359130859,12486,2002,NA
1061,2,4.256374359130859,12486,2003,NA
1061,2,4.256374359130859,12486,2004,NA
1061,2,4.256374359130859,12486,2005,NA
1061,2,4.256374359130859,12486,2006,NA
1061,2,4.256374359130859,12486,2007,NA
1061,2,4.256374359130859,12486,2008,NA
1061,2,4.256374359130859,12486,2009,NA
1061,2,4.256374359130859,12486,2010,NA
1061,2,4.256374359130859,12486,2011,NA
1061,2,4.256374359130859,12486,2012,NA
1061,2,4.256374359130859,12486,2013,72534
1061,2,4.256374359130859,12486,2014,70416
1061,2,4.256374359130859,12486,2015,74153
1061,2,4.256374359130859,12486,2016,77128
1067,2,4.256374359130859,8168,2000,60705
1067,2,4.256374359130859,8168,2001,65496
1067,2,4.256374359130859,8168,2002,68109
1067,2,4.256374359130859,8168,2003,72358
1067,2,4.256374359130859,8168,2004,76580
1067,2,4.256374359130859,8168,2005,82013
1067,2,4.256374359130859,8168,2006,90490
1067,2,4.256374359130859,8168,2007,99304
1067,2,4.256374359130859,8168,2008,100538
1067,2,4.256374359130859,8168,2009,101984
1067,2,4.256374359130859,8168,2010,98959
1067,2,4.256374359130859,8168,2011,97451
1067,2,4.256374359130859,8168,2012,94219
1067,2,4.256374359130859,8168,2013,93266
1067,2,4.256374359130859,8168,2014,92236
1067,2,4.256374359130859,8168,2015,94413
1067,2,4.256374359130859,8168,2016,96733
1069,2,4.256374359130859,38769,2000,NA
1069,2,4.256374359130859,38769,2001,NA
1069,2,4.256374359130859,38769,2002,NA
1069,2,4.256374359130859,38769,2003,NA
1069,2,4.256374359130859,38769,2004,NA
1069,2,4.256374359130859,38769,2005,NA
1069,2,4.256374359130859,38769,2006,NA
1069,2,4.256374359130859,38769,2007,137914
1069,2,4.256374359130859,38769,2008,142502
